"_EMAIL_USER_EMAIL_TO_FRIEND_SUBJECT";"Mensaje de [sender_title] en [host]"
"_EMAIL_NOTIFY_YNVIDEO_PROCESSED_SUBJECT";"Tu vídeo ""[object_title]"" esta listo"
"_EMAIL_NOTIFY_YNVIDEO_PROCESSED_BODYHTML";"[header]<br> <br> tu vídeo ""<strong>[object_title]</strong>""ha sido subido satisfactoriamente y esta listo para ser visto. Para verlo o compartirlo puedes dar click en el siguiente link :<br> <br> http://[host][object_link]<br> <br> [footer]"
"_EMAIL_INVITE_SUBJECT";"Ha recibido una invitación para unirse a nuestra Red Social"
"_EMAIL_INVITE_CODE_SUBJECT";"¡Ha recibido una invitación para unirse a nuestra Red Social!"
"View More";"Ver más"
"Post";"Publicar"
"post";"anotación";"anotaciones"
"Like";"Me gusta"
"like";"me gusta"
"Unlike";"No me gusta"
"unlike";"ya no me gusta"
"Comment";"Comentar"
"Delete";"Borrar"
"%s person likes this";"A %s usuario le gusta esto";"A %s usuarios les gusta esto"
"%s likes this.";"A %s le gusta esto.";"A %s les gusta esto."
"This activity item has been removed.";"Esta actividad ha sido eliminada."
"Comment has been deleted";"El comentario ha sido borrado"
"You do not have the privilege to delete this comment";"No tiene autorización para borrar este comentario"
"... &nbsp;";"... &nbsp;"
"more";"más"
"less";"menos"
"You have no notifications.";"No tiene notificaciones."
"You have no requests.";"No tiene solicitudes pendientes."
"Publish this on Facebook";"Publicar en FaceBook"
"Share this by re-posting it with your own message.";"Comparta esto publicándolo con su propio mensaje."
"Delete Activity Item?";"¿Borrar actualización?"
"Are you sure that you want to delete this activity item and all of its comments? This action cannot be undone.";"¿Desea borrar esta actualización con todos sus comentarios asociados? Esta acción, una vez confirmada, no puede deshacerse."
"ADMIN_ACTIVITY_TYPE_TAGGED";"Cuando sea identificado en fotos y otros archivos en la Red Social."
"ADMIN_ACTIVITY_TYPE_FRIENDS";"Cuando dos Usuarios establezcan contacto."
"ADMIN_ACTIVITY_TYPE_FRIENDS_FOLLOW";"Cuando alguien comience a seguirme."
"ADMIN_ACTIVITY_TYPE_LOGIN";"Cuando un usuario se identifique en la Red Social."
